username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
ArthurKuhn7,2018-06-02 19:25,0,0,Parabéns Geraldão!,,,,1.00303996836368E+018,https://twitter.com/ArthurKuhn7/status/1003039968363675648,,
ArthurKuhn7,2018-06-02 19:23,0,0,Torço por Geraldo Presidente,,,,1.00303933864346E+018,https://twitter.com/ArthurKuhn7/status/1003039338643456001,,
ArthurKuhn7,2018-06-02 19:21,0,0,#GERALDOPRESIDENTE,,,#GERALDOPRESIDENTE,1.00303897113446E+018,https://twitter.com/ArthurKuhn7/status/1003038971134464005,,
ArthurKuhn7,2018-06-02 19:20,0,0,Parabéns Geraldo!,,,,1.00303877270191E+018,https://twitter.com/ArthurKuhn7/status/1003038772701908992,,
MiltinhoTNT,2018-06-02 19:20,0,2,Poxa vida Bolsonaro eleitores assim e difícil de se ver kkk . já basta Danny Glover babando Ovo agora o Homem Invisível eleitor do alckmin,,,,1.00303876384351E+018,https://twitter.com/MiltinhoTNT/status/1003038763843510273,,
sudornelles,2018-06-02 19:20,1,1,Liguem pro @geraldoalckmin ! https:// twitter.com/UOLNoticias/st atus/1003038496209166336 …,,@geraldoalckmin,,1.00303871524409E+018,https://twitter.com/sudornelles/status/1003038715244089346,,
ArthurKuhn7,2018-06-02 19:15,0,0,Brasil só vai pra frente com geraldo presidente,,,,1.00303751367253E+018,https://twitter.com/ArthurKuhn7/status/1003037513672527872,,
ArthurKuhn7,2018-06-02 19:15,0,0,Participação popular é a chave!,,,,1.00303731532808E+018,https://twitter.com/ArthurKuhn7/status/1003037315328077824,,
ArthurKuhn7,2018-06-02 19:14,0,0,Obrigado por ser democrático e justo Geraldo!,,,,1.00303711711366E+018,https://twitter.com/ArthurKuhn7/status/1003037117113659392,,
ArthurKuhn7,2018-06-02 19:13,0,0,"Único candidato possível para a presidência, #ForçaGeraldo",,,#For,1.00303685668927E+018,https://twitter.com/ArthurKuhn7/status/1003036856689266689,,
